City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Chake Chake,TZ,81.27,light rain,-5.2459,39.7666,Hotel Archipelago
294,Basco,PH,77.58,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
296,Katobu,ID,75.27,overcast clouds,-4.9408,122.5276,La Ode Husein
298,Harper,LR,82.45,broken clouds,4.375,-7.7169,Screensaver
303,Arraial Do Cabo,BR,78.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
304,Chacabuco,AR,78.46,broken clouds,-34.6417,-60.4739,Club de Pesca Caza y Balneario
305,Vao,NC,75.07,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
306,Buchanan,LR,82.02,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
309,Biak,ID,76.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
310,Miandrivazo,MG,79.54,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
315,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
317,Port Charlotte,US,87.84,few clouds,26.9762,-82.0906,Knights Inn Port Charlotte
319,Coahuayana,MX,89.56,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
323,San Policarpo,PH,81.59,scattered clouds,12.1791,125.5072,Agapita M. Nicart
325,Doha,QA,79.11,clear sky,25.2867,51.5333,Movenpick Hotel Doha
334,Fare,PF,80.64,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
336,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
337,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
339,Caranavi,BO,80.31,few clouds,-15.8167,-67.55,Hotel LANDIVAR
340,Sao Marcos,BR,75.2,few clouds,-28.9711,-51.0681,Hotel São Marcos
346,Ajra,IN,77.9,overcast clouds,16.1167,74.2,Hotel Minerva Paradise
365,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
366,Camopi,GF,80.76,light rain,3.1655,-52.3158,La pousada
367,Santiago Del Estero,AR,82.42,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
368,Carutapera,BR,83.95,light rain,-1.195,-46.02,Lidera
370,Joao Pinheiro,BR,85.44,few clouds,-17.7425,-46.1725,Hotel Santos
372,Grand-Lahou,CI,81.88,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
373,Salinopolis,BR,82.62,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
375,San Pedro Jocopilas,GT,75.63,scattered clouds,15.0944,-91.1514,Centro De Paz Barbara Ford
377,Santa Maria,BR,79.9,scattered clouds,-29.6842,-53.8069,Hotel Morotin
384,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
386,La Primavera,CO,88.52,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
387,Sur,OM,81.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
395,Pamekasan,ID,75.2,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
396,Kavieng,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
399,Rocha,UY,79.95,clear sky,-34.4833,-54.3333,Hotel Arrarte
400,Eustis,US,78.85,clear sky,28.8528,-81.6853,Quality Inn & Suites Mt Dora North
407,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
411,Kroya,ID,78.1,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
412,Pattaya,TH,85.08,overcast clouds,12.9333,100.8833,Amari Pattaya
413,Padang,ID,78.33,light rain,-0.9492,100.3543,Mercure Padang
418,Matadi,CD,77.86,heavy intensity rain,-5.8167,13.45,Hotel Vivi Palace
419,Grand Gaube,MU,80.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
420,Sola,VU,82.78,overcast clouds,-13.8833,167.55,Leumerus Bungalows
428,Kattivakkam,IN,86.09,clear sky,13.2167,80.3167,Euronova Freezer
431,Isangel,VU,77.86,scattered clouds,-19.55,169.2667,Tanna Lodge
432,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
433,Labuhan,ID,75.96,moderate rain,-6.8844,112.2051,DoubleFAG
436,Itarema,BR,82.87,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
439,Takoradi,GH,82.62,broken clouds,4.8845,-1.7554,Raybow International Hotel
442,Kutum,SD,86.97,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
