City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Waipawa,NZ,2022-04-18 19:12:49,-41.4122,175.5153,51.73,94,12,5.82
176,Katsuura,JP,2022-04-18 19:12:50,35.1333,140.3,56.57,87,100,12.57
177,Balfron,GB,2022-04-18 19:12:51,56.0681,-4.3356,50.81,74,37,6.55
178,Aligudarz,IR,2022-04-18 19:12:51,33.4006,49.6949,51.3,20,2,1.79
179,Bonthe,SL,2022-04-18 19:12:52,7.5264,-12.505,80.13,71,100,10.49
180,Ndioum,SN,2022-04-18 19:12:53,16.5129,-14.6471,100.26,10,18,9.42
181,Tasiilaq,GL,2022-04-18 19:12:53,65.6145,-37.6368,33.96,97,100,5.99
182,Port Blair,IN,2022-04-18 19:12:54,11.6667,92.75,82.56,69,100,2.44
183,Kaiyuan,CN,2022-04-18 19:12:54,23.6977,103.3037,56.34,83,100,4.0
184,Ust-Nera,RU,2022-04-18 19:12:56,64.5667,143.2,-1.44,96,56,3.09
185,Alikalia,SL,2022-04-18 19:12:56,9.1667,-11.4,81.97,53,100,3.06
186,Terrace Bay,CA,2022-04-18 19:12:57,48.7834,-87.1,30.69,97,100,13.18
187,Acajutla,SV,2022-04-18 19:12:58,13.5928,-89.8275,87.37,62,17,10.85
188,Bambous Virieux,MU,2022-04-18 19:12:58,-20.3428,57.7575,79.21,85,12,11.63
189,Qui Nhon,VN,2022-04-18 19:12:59,13.7667,109.2333,73.94,91,100,7.83
190,Clyde River,CA,2022-04-18 19:12:59,70.4692,-68.5914,-1.35,81,100,1.86
191,Zverinogolovskoye,RU,2022-04-18 19:13:00,54.4586,64.8542,45.99,59,76,5.84
192,Kieta,PG,2022-04-18 19:13:00,-6.2167,155.6333,77.9,86,100,2.59
193,Bekhtery,UA,2022-04-18 19:13:02,46.251,32.2927,41.52,88,100,14.43
194,Moindou,NC,2022-04-18 19:13:03,-21.6924,165.677,74.1,83,94,2.84
195,Hailar,CN,2022-04-18 19:13:03,49.2,119.7,47.28,38,98,8.81
196,Longyearbyen,SJ,2022-04-18 19:13:04,78.2186,15.6401,15.64,79,20,4.61
197,Caramay,PH,2022-04-18 19:13:04,10.1815,119.236,79.74,83,44,8.05
198,Roald,NO,2022-04-18 19:13:05,62.5833,6.1333,50.92,81,0,1.14
199,Salalah,OM,2022-04-18 19:13:05,17.0151,54.0924,82.49,78,75,5.75
200,Padang,ID,2022-04-18 19:13:06,-0.9492,100.3543,78.01,87,100,2.86
201,Harper,LR,2022-04-18 19:13:06,4.375,-7.7169,77.18,91,100,8.68
202,Fergus Falls,US,2022-04-18 19:13:07,46.283,-96.0776,32.18,72,40,23.02
203,Kotka,FI,2022-04-18 19:13:07,60.4664,26.9458,45.66,91,75,3.78
204,Meulaboh,ID,2022-04-18 19:13:08,4.1363,96.1285,77.14,90,100,3.94
205,Bintulu,MY,2022-04-18 19:13:08,3.1667,113.0333,79.36,84,95,3.67
206,Ust-Kan,RU,2022-04-18 19:13:09,50.9276,84.761,45.19,51,100,5.39
207,Mustafabad,PK,2022-04-18 19:13:11,30.8922,73.4989,85.75,25,9,6.06
208,Antofagasta,CL,2022-04-18 19:09:03,-23.65,-70.4,63.68,63,0,7.25
209,Poum,NC,2022-04-18 19:13:12,-20.2333,164.0167,77.38,78,6,10.69
